,terminologyEnglish,terminologyFrench,syntheticText,translatedText
0,symptoms,symptômes,The patient is experiencing symptoms of the illness.,Le patient ressent les symptômes de la maladie.
1,symptoms,symptômes,The patient is exhibiting symptoms of the illness.,Le patient présente des symptômes de la maladie.
2,symptoms,symptômes,The patient is exhibiting symptoms of the illness.,Le patient présente des symptômes de la maladie.
3,symptoms,symptômes,The patient is experiencing symptoms of the illness.,Le patient présente des symptômes de la maladie.
4,symptoms,symptômes,The patient is exhibiting symptoms of the illness.,Le patient présente des symptômes de la maladie.
5,fever,fièvre,She had a fever and had to stay in bed all day.,Elle avait de la fièvre et devait rester au lit toute la journée.
6,fever,fièvre,She had a fever and had to stay home from school.,Elle avait de la fièvre et devait rester à la maison de l'école.
7,fever,fièvre,I have a fever.,J'ai de la fièvre.
8,fever,fièvre,She had a fever and had to stay home from school.,Elle avait de la fièvre et dut rester à la maison de l'école.
9,fever,fièvre,I have a fever.,J'ai de la fièvre.
10,blood pressure,tension|tension artérielle,My blood pressure is high.,Ma tension artérielle est élevée.
11,blood pressure,tension|tension artérielle,My blood pressure is high.,Ma pression artérielle est élevée.
12,blood pressure,tension|tension artérielle,My doctor told me that my blood pressure is too high.,Mon médecin m'a dit que ma tension artérielle est trop élevée.
13,blood pressure,tension|tension artérielle,My blood pressure is high.,Ma pression sanguine est élevée.
14,blood pressure,tension|tension artérielle,My blood pressure is high.,Ma tension artérielle est élevée.
15,difficulty breathing,difficultés pour respirer|difficultés à respirer|difficulté à respirer,I am having difficulty breathing.,Je rencontre des difficultés pour respirer.
16,difficulty breathing,difficultés pour respirer|difficultés à respirer|difficulté à respirer,I am having difficulty breathing.,J'ai des difficultés pour respirer.
17,difficulty breathing,difficultés pour respirer|difficultés à respirer|difficulté à respirer,I am having difficulty breathing.,J'ai du mal à respirer.
18,difficulty breathing,difficultés pour respirer|difficultés à respirer|difficulté à respirer,I am having difficulty breathing.,J'ai du mal à respirer.
19,difficulty breathing,difficultés pour respirer|difficultés à respirer|difficulté à respirer,I am having difficulty breathing.,Je rencontre des difficultés pour respirer.
20,cough,toussez|toussent|tousser|tousse|toussé|toux,I have a bad cough.,J'ai une mauvaise toux.
21,cough,toussez|toussent|tousser|tousse|toussé|toux,I have a bad cough.,J'ai une mauvaise toux.
22,cough,toussez|toussent|tousser|tousse|toussé|toux,I have a bad cough.,J'ai une mauvaise toux.
23,cough,toussez|toussent|tousser|tousse|toussé|toux,I have a bad cough.,J'ai une mauvaise toux.
